Identifier	Character	Dialogue	Filename	Line Number
act1_6c9db306	narration	You reach the office early as usual.	game/scripts/act1.rpy	17
act1_97243d6f	narration	You like taking your time, and sipping on your first tea in the open space, trying to take the pulse of the day before it starts, and people shuffle in one by one.	game/scripts/act1.rpy	19
act1_6b5acb7d	narration	Your office feels homely in a way. It’s a box, really, but you like to think you’ve made the most of it though you took great care in stripping it of anything too personal, you’re the Human Resources Manager after all.{p} With the CEO still abroad, and M. Gopinath, the Administrative Director, on leave, you’re the one in charge of the whole office this week.	game/scripts/act1.rpy	22
act1_7a115abc	narration	You sigh, and wish silently that you won’t have to take too many decisions. Your cup in hand, you walk slowly to your office, and find the door already open, and the lights on. When you hear muffled cries from within, you realize that your wish for a peaceful, and uneventful day, might have been lost.	game/scripts/act1.rpy	28
act1_scene2_2e469eed	narration	Priyanka was sitting inside, facing your desk. You wonder how long she’s been waiting here.	game/scripts/act1.rpy	40
act1_scene2_8611bdba	narration	When she sees you, she stands up clumsily, tries to wipe her tears away, then sits back again. 	game/scripts/act1.rpy	44
act1_scene2_88f2e872	narration	Puzzled, you speed up onto your chair.	game/scripts/act1.rpy	46
act1_scene2_fe76015f		What’s the matter, Priyanka? It’s very early.	game/scripts/act1.rpy	48
act1_scene2_447ff72b	priyanka	I can’t stand it anymore, M. Chandrakant, I just can’t.	game/scripts/act1.rpy	50
act1_scene2_0407ace9	priyanka	Every day… Every day I come in, and it’s the same, they just won’t stop-	game/scripts/act1.rpy	52
act1_scene2_01eaab48		Wait, who? Who won’t stop? Stop doing what?	game/scripts/act1.rpy	54
act1_scene2_3f28687c	priyanka	They talk about the way I dress, my makeup, everything.	game/scripts/act1.rpy	56
act1_scene2_c91aae30	priyanka	Sometimes they whistle, or they make gestures to me.	game/scripts/act1.rpy	58
act1_scene2_651b8ec1	priyanka	You know, {w=0.25}bad gestures.	game/scripts/act1.rpy	60
act1_scene2_22e0d478	priyanka	Yesterday afternoon, I heard Bapat call me a westernized slut, and the whole office was laughing.	game/scripts/act1.rpy	62
act1_scene2_f86f9e82	priyanka	They crack lewd jokes with Donatello, and now they say I can’t come to work wearing a skirt, heels, or even makeup.	game/scripts/act1.rpy	64
act1_scene2_03872b09	priyanka	Maybe they’re not used to well-groomed women, but{w=0.25} this is important to me.	game/scripts/act1.rpy	66
act1_scene2_c44e87f1		Why don’t you change the way you dress?	game/scripts/act1.rpy	68
act1_scene2_a1e73e5f	priyanka	Why is it to me to change my ways? Why can’t I be myself?	game/scripts/act1.rpy	70
act1_scene2_22d47c4d	priyanka	Am I supposed to come in a sari with flowers every day?	game/scripts/act1.rpy	72
act1_scene2_11ec82b0	thinking	I’m in a bit of a pickle now.	game/scripts/act1.rpy	74
act1_scene2_27bbea80	thinking	Bapat is the Marketing Executive, and Donatello is the Senior Commercial Assistant.	game/scripts/act1.rpy	76
act1_scene2_80d720dc	thinking	Two Very Important Persons, that you don’t want for enemies.	game/scripts/act1.rpy	78
act1_scene2_50aa62ae	thinking	Yet, if what Priyanka says is true, something must be done.	game/scripts/act1.rpy	80
act1_scene2_e6fd188c	thinking	Maybe there’s some truth in what she says?	game/scripts/act1.rpy	82
act1_scene2_b766c859	thinking	Or maybe she’s plain wrong?	game/scripts/act1.rpy	84
act1_scene2_42c511df	thinking	What should I do ?	game/scripts/act1.rpy	87
act1_scene3_356d3afe	narration	As you stride away from your office, determined to get to the bottom of this, you meet Bapat and Donatello as they drink their first coffee of the day in the company’s small canteen.	game/scripts/act1.rpy	98
act1_scene3_285e93ce	narration	Looks like the whole team has decided to get up early today.	game/scripts/act1.rpy	103
act1_scene3_e83f4fbf		Did you two fall out of your beds?	game/scripts/act1.rpy	105
act1_scene3_0765de2a	bapat	We were waiting for you, Abhay	game/scripts/act1.rpy	107
act1_scene3_015a3297		That’s interesting because I was looking for the two of you myself	game/scripts/act1.rpy	111
act1_scene3_40301c20	narration	They both look at each other smugly.	game/scripts/act1.rpy	113
